City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Sonoita,US,2020-01-04 22:55:39,31.68,-110.66,73.4,17,1,10.29
118,Tiksi,RU,2020-01-04 22:55:39,71.64,128.87,-15.99,84,85,10.67
119,Harper,US,2020-01-04 22:55:39,30.3,-99.24,71.6,15,1,6.93
120,Victor Harbor,AU,2020-01-04 22:55:40,-35.55,138.62,61.0,77,75,10.29
121,Kaitangata,NZ,2020-01-04 22:52:51,-46.28,169.85,53.56,73,99,32.99
122,Delemont,CH,2020-01-04 22:55:40,47.36,7.34,39.2,88,47,2.24
123,Leningradskiy,RU,2020-01-04 22:52:33,69.38,178.42,-9.65,63,17,1.3
124,Qostanay,KZ,2020-01-04 22:53:10,53.17,63.58,23.0,92,90,20.13
125,Zhigansk,RU,2020-01-04 22:55:41,66.77,123.37,-18.53,95,100,10.42
126,Copiapo,CL,2020-01-04 22:55:42,-27.37,-70.33,66.2,63,75,14.99
127,Perth,AU,2020-01-04 22:53:10,-31.95,115.86,71.01,42,0,20.8
128,Byron Bay,AU,2020-01-04 22:55:03,-28.65,153.62,82.99,54,3,12.75
129,Cidreira,BR,2020-01-04 22:55:42,-30.17,-50.22,73.18,82,25,18.84
130,Manyana,AU,2020-01-04 22:55:43,-35.26,150.51,72.0,82,90,13.87
131,Los Llanos De Aridane,ES,2020-01-04 22:55:43,28.66,-17.92,64.4,63,75,9.17
132,Basoko,CD,2020-01-04 22:55:44,1.23,23.61,70.66,59,95,3.11
133,Cape Canaveral,US,2020-01-04 22:55:44,28.41,-80.6,70.0,77,75,12.75
134,Yala,TH,2020-01-04 22:55:44,6.54,101.28,71.55,94,48,2.46
135,Nikolskoye,RU,2020-01-04 22:55:45,59.7,30.79,33.8,74,90,15.66
136,Dikson,RU,2020-01-04 22:55:45,73.51,80.55,2.8,90,100,24.43
137,Arraial Do Cabo,BR,2020-01-04 22:55:45,-22.97,-42.02,75.2,94,90,3.36
138,Pabna,BD,2020-01-04 22:55:46,24.0,89.25,63.99,75,87,1.92
139,Zhob,PK,2020-01-04 22:55:46,31.34,69.45,41.92,66,100,4.18
140,Bluff,AU,2020-01-04 22:55:46,-23.58,149.07,81.41,45,62,8.03
141,Bubaque,GW,2020-01-04 22:53:21,11.28,-15.83,78.3,56,20,7.36
142,Ahuimanu,US,2020-01-04 22:55:47,21.44,-157.84,80.6,94,90,16.11
143,Nome,US,2020-01-04 22:55:48,30.04,-94.42,68.0,34,1,6.93
144,Hambantota,LK,2020-01-04 22:55:48,6.12,81.12,78.55,85,14,16.17
145,Ilulissat,GL,2020-01-04 22:55:48,69.22,-51.1,10.4,72,95,6.93
146,Znamenka,RU,2020-01-04 22:55:48,52.41,41.44,28.96,94,100,9.84
147,Vestmanna,FO,2020-01-04 22:55:49,62.16,-7.17,46.4,100,100,9.17
148,Tazovskiy,RU,2020-01-04 22:55:49,67.47,78.7,16.66,92,100,19.66
149,Touba,SN,2020-01-04 22:55:49,14.86,-15.88,68.02,12,60,11.81
150,Hami,CN,2020-01-04 22:55:50,42.84,93.51,14.77,62,0,0.63
151,Dedougou,BF,2020-01-04 22:55:50,12.47,-3.47,61.7,17,2,7.7
152,Mahibadhoo,MV,2020-01-04 22:55:50,3.78,72.97,82.09,76,78,9.44
153,Port Augusta,AU,2020-01-04 22:55:51,-32.49,137.76,54.0,84,100,5.01
154,Victoria,BN,2020-01-04 22:54:18,5.28,115.24,80.6,83,75,2.24
155,Makarov,RU,2020-01-04 22:55:51,48.62,142.78,16.43,66,4,26.04
156,Bogalusa,US,2020-01-04 22:55:51,30.79,-89.85,62.6,38,1,10.29
157,Saint-Pierre,FR,2020-01-04 22:54:17,48.95,4.24,41.0,93,90,5.82
158,Grand Gaube,MU,2020-01-04 22:53:31,-20.01,57.66,78.01,94,75,11.5
159,Bloomingdale,US,2020-01-04 22:55:52,41.96,-88.08,32.0,68,90,5.82
160,Voh,NC,2020-01-04 22:55:52,-20.95,164.69,78.12,71,0,15.19
161,Torbay,CA,2020-01-04 22:52:31,47.66,-52.73,33.01,91,90,6.93
162,Nouakchott,MR,2020-01-04 22:55:53,18.08,-15.98,66.2,16,39,8.05
163,Sabinas,MX,2020-01-04 22:55:53,27.85,-101.13,59.0,31,0,4.09
164,Komsomolskiy,RU,2020-01-04 22:55:53,67.55,63.78,22.89,92,73,20.71
165,Atuona,PF,2020-01-04 22:55:54,-9.8,-139.03,81.41,68,18,6.38
166,Constitucion,MX,2020-01-04 22:55:54,23.99,-104.67,59.0,18,5,1.32
167,Pyay,MM,2020-01-04 22:55:54,18.82,95.22,64.54,79,0,2.84
168,Hirara,JP,2020-01-04 22:55:54,24.8,125.28,64.4,88,40,6.93
169,Saravan,AM,2020-01-04 22:55:55,39.72,45.65,33.8,86,75,4.7
170,Kitgum,UG,2020-01-04 22:55:55,3.3,32.88,72.45,58,91,4.25
171,Hofn,IS,2020-01-04 22:52:51,64.25,-15.21,44.53,75,34,36.08
172,Kununurra,AU,2020-01-04 22:55:55,-15.77,128.74,84.2,79,88,3.36
173,Kaeo,NZ,2020-01-04 22:53:47,-35.1,173.78,75.99,69,98,3.0
174,Butaritari,KI,2020-01-04 22:54:20,3.07,172.79,85.05,77,68,13.04
175,Pangody,RU,2020-01-04 22:55:56,65.85,74.49,25.93,94,100,18.97
176,Soanierana Ivongo,MG,2020-01-04 22:55:57,-16.92,49.59,73.62,93,98,2.75
177,Airai,TL,2020-01-04 22:55:57,-8.93,125.41,77.27,65,97,3.8
178,Sao Joao Da Barra,BR,2020-01-04 22:55:57,-21.64,-41.05,76.68,90,85,7.16
179,Pisco,PE,2020-01-04 22:55:58,-13.71,-76.2,71.6,30,94,24.16
180,Guerrero Negro,MX,2020-01-04 22:55:58,27.97,-114.04,68.41,31,0,8.05
181,Kango,GA,2020-01-04 22:55:58,0.19,10.1,75.24,96,39,2.35
182,Barrow,AR,2020-01-04 22:55:58,-38.31,-60.23,69.12,76,87,12.88
183,Banda Aceh,ID,2020-01-04 22:55:59,5.56,95.32,71.94,87,2,6.55
184,La Ronge,CA,2020-01-04 22:55:59,55.1,-105.3,17.6,85,90,10.29
185,Xianshuigu,CN,2020-01-04 22:55:59,38.98,117.38,23.0,85,89,6.71
186,Nanortalik,GL,2020-01-04 22:52:32,60.14,-45.24,31.26,81,100,19.48
187,Almaznyy,RU,2020-01-04 22:56:00,48.03,40.04,28.4,86,20,6.71
188,Avarua,CK,2020-01-04 22:56:00,-21.21,-159.78,80.6,94,0,5.82
189,Jutai,BR,2020-01-04 22:56:00,-1.71,-47.89,74.1,97,100,3.13
190,Khasan,RU,2020-01-04 22:56:01,42.43,130.64,19.2,63,0,8.77
191,Dom Pedrito,BR,2020-01-04 22:53:38,-30.98,-54.67,71.31,75,42,12.17
192,Trofors,NO,2020-01-04 22:56:01,65.54,13.39,33.8,74,75,11.41
193,San Quintin,PH,2020-01-04 22:56:01,17.54,120.52,73.04,73,43,4.72
194,Muros,ES,2020-01-04 22:56:01,42.77,-9.06,48.99,100,40,6.93
195,Fortuna,US,2020-01-04 22:56:02,40.6,-124.16,55.0,66,20,10.29
196,Nguruka,TZ,2020-01-04 22:56:02,-5.11,31.04,64.53,96,24,3.09
197,Aibonito,PR,2020-01-04 22:56:03,18.14,-66.27,80.6,69,20,8.05
198,Mbini,GQ,2020-01-04 22:56:03,1.58,9.62,81.12,76,27,8.93
199,Baykit,RU,2020-01-04 22:56:03,61.68,96.39,13.35,92,100,7.27
200,Clyde River,CA,2020-01-04 22:53:11,70.47,-68.59,-32.8,73,5,11.41
201,Husavik,CA,2020-01-04 22:56:04,50.56,-96.99,26.01,95,100,13.0
202,Deep River,CA,2020-01-04 22:56:04,46.1,-77.49,30.2,68,90,5.82
203,Port-Gentil,GA,2020-01-04 22:52:56,-0.72,8.78,80.6,94,75,8.05
204,Ikongo,MG,2020-01-04 22:56:05,-21.88,47.44,68.09,97,12,1.77
205,Kibaya,RW,2020-01-04 22:56:05,-2.2,30.56,59.4,95,19,1.99
206,Wakkanai,JP,2020-01-04 22:56:05,45.41,141.67,25.68,63,100,16.58
207,Shimanovsk,RU,2020-01-04 22:56:05,52.0,127.67,-11.76,99,41,1.43
208,Foster City,US,2020-01-04 22:54:27,37.56,-122.27,61.0,76,90,12.75
209,Bol,TD,2020-01-04 22:56:06,13.47,14.72,62.91,37,5,18.5
210,Hassleholm,SE,2020-01-04 22:56:06,56.16,13.77,37.4,55,0,13.87
211,Tottori,JP,2020-01-04 22:56:07,35.5,134.23,46.4,71,75,19.46
212,Touros,BR,2020-01-04 22:53:31,-5.2,-35.46,80.6,74,20,10.29
213,Sitka,US,2020-01-04 22:56:07,37.17,-99.65,47.89,44,0,10.11
214,Silvan,TR,2020-01-04 22:56:07,38.14,41.01,41.0,93,75,4.7
215,Kieta,PG,2020-01-04 22:53:24,-6.22,155.63,84.22,69,34,2.66
216,Coquimbo,CL,2020-01-04 22:56:08,-29.95,-71.34,62.6,77,40,11.41
217,Logstor,DK,2020-01-04 22:56:08,56.96,9.26,37.99,88,0,6.62
218,Cayenne,GF,2020-01-04 22:56:08,4.94,-52.33,80.6,78,20,4.7
219,Karimganj,IN,2020-01-04 22:56:08,24.86,92.37,57.24,89,31,1.45
220,Vila Franca Do Campo,PT,2020-01-04 22:53:01,37.72,-25.43,62.6,93,20,9.17
221,Padang,ID,2020-01-04 22:56:09,-0.92,100.36,69.58,89,85,5.99
222,Mersing,MY,2020-01-04 22:56:09,2.43,103.84,79.56,83,67,19.39
223,Souillac,FR,2020-01-04 22:54:24,45.6,-0.6,37.99,93,0,1.12
224,Ballitoville,ZA,2020-01-04 22:56:10,-29.54,31.21,78.01,79,58,4.29
225,Waipawa,NZ,2020-01-04 22:54:28,-39.94,176.59,66.0,58,62,8.01
226,Manzil Salim,TN,2020-01-04 22:56:10,35.86,8.48,44.6,75,75,6.93
227,Kabalo,CD,2020-01-04 22:56:11,-6.05,26.92,69.69,98,78,2.24
228,Norman Wells,CA,2020-01-04 22:56:11,65.28,-126.83,-18.4,68,75,6.93
229,Outlook,CA,2020-01-04 22:56:11,51.48,-107.04,30.24,83,83,21.83
230,Naryan-Mar,RU,2020-01-04 22:56:12,67.67,53.09,26.38,87,100,34.18
231,Topolobampo,MX,2020-01-04 22:56:12,25.6,-109.05,81.0,27,5,10.29
232,Yar-Sale,RU,2020-01-04 22:53:16,66.83,70.83,28.94,95,100,18.81
233,Mogadishu,SO,2020-01-04 22:54:24,2.04,45.34,80.64,83,12,15.7
234,Quang Ngai,VN,2020-01-04 22:56:13,15.12,108.8,74.01,78,100,9.93
235,Marsh Harbour,BS,2020-01-04 22:56:13,26.54,-77.06,76.87,82,75,16.67
236,Paungde,MM,2020-01-04 22:56:13,18.49,95.51,66.54,80,0,3.71
237,Khandyga,RU,2020-01-04 22:56:14,62.65,135.58,-28.25,96,1,2.33
238,Faya,SA,2020-01-04 22:56:14,18.39,42.45,60.8,82,20,10.29
239,Gobabis,NA,2020-01-04 22:56:14,-22.45,18.97,69.28,69,100,16.11
240,Ossora,RU,2020-01-04 22:56:14,59.24,163.07,15.4,95,100,5.75
241,Belmonte,PT,2020-01-04 22:53:08,40.36,-7.35,39.0,86,0,4.18
242,Quelimane,MZ,2020-01-04 22:55:04,-17.88,36.89,79.77,86,53,7.2
243,Hobart,AU,2020-01-04 22:52:07,-42.88,147.33,61.0,38,75,10.29
244,Westport,US,2020-01-04 22:56:15,41.14,-73.36,50.0,93,90,8.05
245,Tyukhtet,RU,2020-01-04 22:56:16,56.54,89.31,16.39,87,81,11.79
246,Broken Hill,AU,2020-01-04 22:53:06,-31.97,141.45,66.2,29,57,29.97
247,Norrkoping,SE,2020-01-04 22:56:16,58.59,16.18,33.8,60,0,12.75
248,Cherskiy,RU,2020-01-04 22:54:26,68.75,161.3,-2.81,58,31,7.05
249,Dingle,PH,2020-01-04 22:56:17,11.0,122.67,75.69,90,10,13.51
250,Granville,FR,2020-01-04 22:56:17,48.84,-1.6,53.01,93,94,4.7
251,Dauphin,CA,2020-01-04 22:53:31,51.15,-100.04,23.0,92,75,17.22
252,Mareeba,AU,2020-01-04 22:56:18,-16.99,145.42,86.0,69,40,6.93
253,Tarko-Sale,RU,2020-01-04 22:56:18,64.92,77.78,19.99,90,100,14.0
254,Narsaq,GL,2020-01-04 22:54:10,60.91,-46.05,24.8,92,100,4.7
255,Isangel,VU,2020-01-04 22:52:53,-19.55,169.27,84.2,62,20,17.22
256,Saint Anthony,US,2020-01-04 22:56:19,43.97,-111.68,35.01,92,90,28.86
257,Saint-Augustin,CA,2020-01-04 22:54:32,45.63,-73.98,30.99,92,40,3.36
258,Iranshahr,IR,2020-01-04 22:56:19,27.21,60.69,61.68,72,0,4.16
259,Priladozhskiy,RU,2020-01-04 22:56:20,59.85,31.48,33.8,74,90,15.66
260,Chiang Rai,TH,2020-01-04 22:56:20,19.9,99.84,62.6,100,20,2.24
261,Mazagao,BR,2020-01-04 22:56:20,-0.12,-51.29,77.0,100,75,8.05
262,Giyani,ZA,2020-01-04 22:56:21,-23.32,30.73,74.89,63,0,4.16
263,Spencer,US,2020-01-04 22:55:37,42.24,-71.99,44.6,93,90,4.7
264,Mount Gambier,AU,2020-01-04 22:52:19,-37.83,140.78,60.8,63,100,13.87
265,Araouane,ML,2020-01-04 22:56:22,18.9,-3.53,57.47,22,18,9.98
266,Soe,EE,2020-01-04 22:56:22,57.91,26.05,34.0,80,33,12.75
267,Klaksvik,FO,2020-01-04 22:55:52,62.23,-6.59,46.4,100,100,9.17
268,Luderitz,NA,2020-01-04 22:56:22,-26.65,15.16,62.6,83,0,23.15
269,Waingapu,ID,2020-01-04 22:56:23,-9.65,120.26,83.32,76,100,28.79
270,Pevek,RU,2020-01-04 22:56:23,69.7,170.27,-5.53,64,0,2.95
271,Esperance,AU,2020-01-04 22:54:44,-33.86,121.89,57.2,71,0,13.87
272,Mehamn,NO,2020-01-04 22:56:24,71.03,27.85,23.52,75,100,27.18
273,Conakry,GN,2020-01-04 22:52:18,9.52,-13.7,80.6,39,82,2.24
274,Lukulu,ZM,2020-01-04 22:56:24,-14.38,23.24,67.69,92,100,6.31
275,Nishihara,JP,2020-01-04 22:56:25,35.74,139.53,43.0,65,20,12.75
276,Berlevag,NO,2020-01-04 22:54:11,70.86,29.09,27.54,72,100,34.72
277,Ginir,ET,2020-01-04 22:56:25,7.14,40.71,58.35,74,59,4.09
278,Chokurdakh,RU,2020-01-04 22:56:25,70.62,147.9,-14.71,99,75,3.09
279,Avera,US,2020-01-04 22:56:26,33.19,-82.53,62.6,50,1,13.87
280,Iqaluit,CA,2020-01-04 22:54:25,63.75,-68.52,-22.0,67,40,27.51
281,Jodhpur,IN,2020-01-04 22:51:29,26.3,73.04,55.49,49,0,6.87
282,Praia Da Vitoria,PT,2020-01-04 22:56:27,38.73,-27.07,62.6,93,20,23.35
283,Maumere,ID,2020-01-04 22:56:27,-8.63,122.22,78.1,89,100,20.24
284,Cachira,CO,2020-01-04 22:56:27,7.74,-73.05,84.2,58,20,13.87
285,Inuvik,CA,2020-01-04 22:56:27,68.36,-133.71,-22.0,74,75,3.36
286,Yeppoon,AU,2020-01-04 22:56:28,-23.13,150.74,82.4,54,99,9.17
287,Olonets,RU,2020-01-04 22:56:28,60.98,32.97,32.4,97,100,5.95
288,Kahului,US,2020-01-04 22:56:28,20.89,-156.47,77.0,83,40,10.29
289,Wakefield,GB,2020-01-04 22:56:29,53.68,-1.5,45.0,93,75,17.22
