City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain inches(last 3hrs),Snow inches(last 3hrs),Current Description
168,168,Butaritari,KI,2020-01-05 11:19:49,3.07,172.79,85.1,76,100,13.94,0.0,3.63,moderate rain
169,169,Airai,TL,2020-01-05 11:19:50,-8.93,125.41,68.63,91,88,4.5,0.0,0.69,light rain
170,170,Carnarvon,ZA,2020-01-05 11:19:50,-30.97,22.13,92.53,8,26,18.48,0.0,0.0,scattered clouds
171,171,Aklavik,CA,2020-01-05 11:19:50,68.22,-135.01,-23.8,67,90,2.24,0.0,0.0,light snow
172,172,Ust-Kalmanka,RU,2020-01-05 11:19:50,52.12,83.31,20.19,80,98,2.75,0.0,0.0,overcast clouds
173,173,Torbay,CA,2020-01-05 11:19:51,47.66,-52.73,30.99,92,90,3.36,0.0,0.0,overcast clouds
174,174,Ribeira Grande,PT,2020-01-05 11:19:51,38.52,-28.7,64.4,88,75,17.22,0.0,0.0,broken clouds
175,175,Sabha,LY,2020-01-05 11:19:42,27.03,14.43,58.19,26,0,5.53,0.0,0.0,clear sky
176,176,Hermanus,ZA,2020-01-05 11:19:51,-34.42,19.24,75.99,58,100,11.01,0.0,0.0,overcast clouds
177,177,Payakumbuh,ID,2020-01-05 11:19:51,-0.23,100.63,69.64,93,24,1.25,0.0,0.81,light rain
178,178,Dawei,MM,2020-01-05 11:19:52,14.07,98.19,81.36,75,0,8.86,0.0,0.0,clear sky
179,179,Esperance,AU,2020-01-05 11:19:52,-33.86,121.89,75.2,38,13,11.41,0.0,0.0,few clouds
180,180,Ancud,CL,2020-01-05 11:19:52,-41.87,-73.83,50.0,100,90,6.93,0.0,0.0,overcast clouds
181,181,Ilulissat,GL,2020-01-05 11:19:53,69.22,-51.1,12.2,85,100,25.28,0.31,0.0,light snow
182,182,Port Alfred,ZA,2020-01-05 11:19:53,-33.59,26.89,73.99,81,71,7.0,0.0,0.0,broken clouds
183,183,Ban Nahin,LA,2020-01-05 11:19:53,18.24,104.21,77.18,50,0,4.16,0.0,0.0,clear sky
184,184,Bilma,NE,2020-01-05 11:19:53,18.69,12.92,65.39,22,0,5.95,0.0,0.0,clear sky
185,185,Colares,PT,2020-01-05 11:19:54,38.8,-9.45,55.0,66,0,8.05,0.0,0.0,clear sky
186,186,Nouadhibou,MR,2020-01-05 11:19:54,20.93,-17.03,62.6,29,45,21.92,0.0,0.0,scattered clouds
187,187,Belaya Gora,RU,2020-01-05 11:19:54,68.54,146.19,-20.67,93,8,0.72,0.0,0.0,clear sky
188,188,Crotone,IT,2020-01-05 11:19:54,39.09,17.12,55.4,58,20,18.34,0.0,0.0,few clouds
189,189,Marsabit,KE,2020-01-05 11:19:55,2.34,37.99,86.38,42,78,13.91,0.0,0.0,broken clouds
190,190,Saint-Leu,RE,2020-01-05 11:19:55,-21.15,55.28,77.0,83,92,3.36,0.0,0.0,light rain
191,191,Gushi,CN,2020-01-05 11:19:55,32.17,115.65,46.11,97,100,7.34,0.0,2.31,light rain
192,192,Alghero,IT,2020-01-05 11:16:17,40.56,8.32,57.99,67,18,10.29,0.0,0.0,few clouds
193,193,Port Lincoln,AU,2020-01-05 11:19:56,-34.72,135.86,61.03,76,68,13.62,0.0,0.0,broken clouds
194,194,Cayenne,GF,2020-01-05 11:19:56,4.94,-52.33,77.0,94,75,3.36,0.0,0.0,broken clouds
195,195,Taitung,TW,2020-01-05 11:19:56,22.76,121.15,66.2,93,75,4.7,0.0,0.0,broken clouds
196,196,Kaeo,NZ,2020-01-05 11:19:56,-35.1,173.78,64.0,100,51,17.29,0.0,0.0,broken clouds
197,197,Yakeshi,CN,2020-01-05 11:19:57,49.28,120.73,4.5,85,59,3.31,0.0,0.0,broken clouds
198,198,Gizo,IL,2020-01-05 11:19:57,31.8,34.94,62.01,67,75,20.8,0.0,0.0,broken clouds
199,199,Bundibugyo,UG,2020-01-05 11:19:57,0.71,30.06,59.88,88,60,4.72,0.0,2.88,light rain
200,200,Luleburgaz,TR,2020-01-05 11:19:57,41.4,27.36,45.0,75,75,16.11,0.0,0.0,broken clouds
201,201,Lagoa,PT,2020-01-05 11:19:58,37.14,-8.45,57.99,67,20,9.17,0.0,0.0,few clouds
202,202,Silver City,US,2020-01-05 11:19:58,32.77,-108.28,30.2,63,1,12.75,0.0,0.0,clear sky
